Catalogue No.,Lot Number,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Expert,Commissaire Pr.,Auction House,Sale Location,Lugt Number,Copyright,Year of Sale,# of instances in year,latitude/longitude,,latitude,longitude
N-A140,0047 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een drie Koningen, door Molenaar",,Painting,,,"Vries, Joan de; from catalog: den Wel Ed. Heer Joan de Vries, Burgemeester der Stad Amsterdam","Unknown, 80:00:00 fl",,,,,,,,1738 Oct 13,,,Anonymous,"Den Haag, Netherlands",490,,1738,3,"52.07494555, 4.26968022053645",,52.07494555, 4.26968022053645
N-A141,0054 [Hoet],"MOLENAER, JAN MIENSE (Dutch), manner",,,,,"Een Stukje, in de manier van Molenaar",,Painting,,,,"Unknown, 1:05 fl",,,,,,,,1739 Mar 18,,,Anonymous,"Amsterdam, Netherlands",499,,1739,1,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A141,0064 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Heer en een Meysje in een Kamer, door J.M. Molenaar",,Painting,,,,"Unknown, 2:00 fl",,,,,,,,1739 Mar 18,,,Anonymous,"Amsterdam, Netherlands",499,,1739,2,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A141,0071 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Twee Boere binnehuysen, door J. Molenaar",,Painting,,,,"Unknown, 5:00 fl",,,,,,,,1739 Mar 18,,,Anonymous,"Amsterdam, Netherlands",499,,1739,3,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A147,0061 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een kapitaal Stuk, daarze drie Koningen speelen, door Jan Miense Molenaar, zo goet als van hem bekent is",,Painting,,,,"Unknown, 23:00 fl",,,,,,,,1739 Sep 16,,,Anonymous,"Amsterdam, Netherlands",507,,1739,4,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-A147,0130 [Hoet],"MOLENAER, JAN MIENSE (Dutch)",,,,,"Vrolyke Gastererende Boeren, door Molenaar",,Painting,,,,"Unknown, 19:00 fl",,,,,,,,1739 Sep 16,,,Anonymous,"Amsterdam, Netherlands",507,,1739,5,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
D-A13,43,"MOLENAER, JAN MIENSE (Dutch)",,,,,"1. Stücklein Holländischer Bauren von J. Molliner, auf Holtz.",,Gemälde,"auf Holz, 1. Schuh / 5. Zoll hoch / 1. Sch. 4. Zoll breit",,,"Unbekannt, 30 fl",,,,,,,,"1740, dates unknown ",,,Anonymous,"Augsburg, Germany",,,1740,1,"48.3668041, 10.8986971",,48.3668041, 10.8986971
D-A23,136,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un chirurgier, saignant un Paisan, trés belle expression, sur bois.",,Gemälde,"auf Holz, Largeur 10 Pouces, Haut 11 1/4 Pouces",,"Hohenzollern, Ferdinand Leopold Anton, Graf von; from catalog: Comte Ferdinand de Hohenzollern",Unbekannt,,,,,,1767/00/00 KOAN 0088 D-A54,,"1750, dates unknown ",,,Anonymous,"Cologne, Germany",651,,1750,1,"50.938361, 6.959974",,50.938361, 6.959974
D-A23,137,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un Paisan, buvant avec une servante, sur bois, par le même [Jean Minse Molenaer].",,Gemälde,"auf Holz, Largeur 10 1/2 Pouces, Haut 1 [?] Piés",,"Hohenzollern, Ferdinand Leopold Anton, Graf von; from catalog: Comte Ferdinand de Hohenzollern",Unbekannt,,,,,,1767/00/00 KOAN 0061 D-A54,,"1750, dates unknown ",,,Anonymous,"Cologne, Germany",651,,1750,2,"50.938361, 6.959974",,50.938361, 6.959974
D-A23,138,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Une piece de cuisine, avec 2. Figures, un chat, & oquantité [sic] de poissons, l'une des plus belles du même Maitre [Jean Minse Molenaer].",,Gemälde,"Largeur 11 Pouces, Haut 1 Piés 1 1/2 Pouces",,"Hohenzollern, Ferdinand Leopold Anton, Graf von; from catalog: Comte Ferdinand de Hohenzollern",Unbekannt,,,,,,1767/00/00 KOAN 0062 D-A54,,"1750, dates unknown ",,,Anonymous,"Cologne, Germany",651,,1750,3,"50.938361, 6.959974",,50.938361, 6.959974
F-A65,55,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un tableau peint sur bois, représentant des Joueurs de cartes, par Molinaer Peintre Hollandois, de 11 pouces de haut sur 9 pouces de large, dans sa bordure dorée.",,Peinture,"sur cuivre, 11 pouces de haut sur 9 pouces de large",,"Delahaye, Marin; from catalog: Delahaye","Inconnue, 38 1 livres",,,,,,,,1754 Jan 01,"Martin, Gabriel",,,"Paris, France",854,,1754,1,"48.8566101, 2.3514992",,48.8566101, 2.3514992
Br-A522,23,"MOLENAER, JAN MIENSE (Dutch)",,,,,Men and Women at Blind-Man's Buff,,Painting,2' h x 2' 7 w,,"Pesters, John De; from catalog: John De Pesters, Esq","Sold, 17.17 pounds",Townshend; from catalog: Townshend,,,,,,,1756 Apr 01 - 1756 Apr  2 (This Lot: Apr  1),,,Prestage,"London, England",916,,1756,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A522,22,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Country Wake oval,,Painting,"oval, 1' 11 h x 2' 4 w",,"Pesters, John De; from catalog: John De Pesters, Esq","Sold, 8.8 pounds","Proctor, Sr. W. B.; from catalog: Sr W B Proctor",,,,,,,1756 Apr 01 - 1756 Apr  2 (This Lot: Apr  2),,,Prestage,"London, England",916,,1756,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A524,27,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Country Wake,,Painting,,,"Batt, Christopher; from catalog: Christopher Batt, Esq","Sold, 9.9 pounds",Duhamel; from catalog: Duhamel,,,,,,,1756 Apr 14 - 1756 Apr 15 (This Lot: Apr 15),,,Langford,"London, England",919,,1756,3,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A535,15,"MOLENAER, JAN MIENSE (Dutch)",,,,,Two Conversations,,Painting,,,,Unknown,,,,,,,,1757 Mar 17 - 1757 Mar 18 (This Lot: Mar 17),,,Langford,"London, England",949 and 950,,1757,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-A554,48,"MOLENAER, JAN MIENSE (Dutch)",,,,,Men at Backgammon,,Painting,,,"St. John, Sir Francis or Burges, James or Smissen, Mr. Dominicus Vander; Burges, James or St. John, Sir Francis or Smissen, Mr. Dominicus Vander; Smissen, Mr. Dominicus Vander or St. John, Sir Francis or Burges, James; from catalog: Sir Francis St John, Bart; James Burges, Esq; Mr Dominicus Vander Smissen",Unknown,,,,,,,,1758 Mar 21 - 1758 Mar 23 (This Lot: Mar 22),,,Prestage,"London, England",996,,1758,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
D-A34,180,"MOLENAER, JAN MIENSE (Dutch)",,,,,Ein Schäncke mit drezenden Bauern auf Holtz.,,Gemälde,"auf Holz, Höhe 3 Schuh, Breite 2 Schuh 2 Zoll",,Böttcher; from catalog: Böttcher,Unbekannt<br>Schätzpreis: 100,,,,,,,,"1759, dates unknown ",,,Eberts (Jean-Henri),"Leipzig, Germany",,,1759,1,"51.3391827, 12.3810549",,51.3391827, 12.3810549
Br-A643,12,"MOLENAER, JAN MIENSE (Dutch)",,,,,A Frost-piece,,Painting,,,,Unknown,,,,,,,,1762 May 14 - 1762 May 14 (This Lot: May 14),,,Prestage,"London, England",1227,,1762,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
D-A40,142,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un homme qui taille des plumes, bien peint.",,Gemälde,"hauteur 8 1/2 pouces, large 7 1/2 pouces",,,"Unbekannt, 8.30 fl",,,,,,,,1763 Jan 19,,,Juncker (Justus); Kaller (Johann Christian),"Frankfurt, Germany",1260,,1763,1,"50.1106444, 8.6820917",,50.1106444, 8.6820917
D-A42,136,"MOLENAER, JAN MIENSE (Dutch)",,,,,Quelques païsans dans l'interieur d'une Chambre bien peint.,,Gemälde,"hauteur 13 pouces, largeur 9 1/2 pouces",,,"Verkauft, 6.45 fl","Geyß, Carl; from catalog: Geÿß",,,,,,,1763 Nov 09,,,Juncker (Justus); Kaller (Johann Christian),"Frankfurt, Germany",1325,,1763,2,"50.1106444, 8.6820917",,50.1106444, 8.6820917
D-A42,137,"MOLENAER, JAN MIENSE (Dutch)",,,,,Une fête de païsans de plusieurs figures dansant auprès d'un Cabaret.,,Gemälde,"hauteur 19 pouces, largeur 14 pouces",,,"Verkauft, 13 fl","Geyß, Carl; from catalog: Geÿß",,,,,,,1763 Nov 09,,,Juncker (Justus); Kaller (Johann Christian),"Frankfurt, Germany",1325,,1763,3,"50.1106444, 8.6820917",,50.1106444, 8.6820917
D-A39,[A]0051,"MOLENAER, JAN MIENSE (Dutch)",,,,,Conversation de Paysans. (Pendant zu Nr. [A]52),,Gemälde,"Hauteur 1 pied 9 pouces, Largeur 1 pied 3 pouce",,"Reden, Wilhelm Johann von; from catalog: le Grand Drossart de Reden",Unbekannt,,,,,,,,1763 Jan 17,,,Anonymous,"Hannover, Germany",1259a,,1763,4,"52.3744779, 9.7385532",,52.3744779, 9.7385532
D-A39,[A]0052,"MOLENAER, JAN MIENSE (Dutch)",,,,,"L'accompagnant du même [J.N. Molenaer]. (Pendant zu Nr. [A]51, Conversation de Paysans)",,Gemälde,"Hauteur 1 pied 9 pouces, Largeur 1 pied 3 pouces",,"Reden, Wilhelm Johann von; from catalog: le Grand Drossart de Reden",Unbekannt,,,,,,,,1763 Jan 17,,,Anonymous,"Hannover, Germany",1259a,,1763,5,"52.3744779, 9.7385532",,52.3744779, 9.7385532
F-A139,6,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Une Tabagie : Quatre hommes sont dans une chambre auprès d'une table, l'un joue du violon, & les trois autres tiennent des pipes à tabac ; peint sur bois par Menelaer, éleve de A. Van-Ostade. Ce Tableau porte douze pouces de haut sur neuf pouces & demi de large.",,Peinture,"sur bois, douze pouces de haut sur neuf pouces & demi de large",,,"Vendu, 30 5 livres",La Tour; from catalog: La Tour,,,,,,,1764 Feb 28 and following days (This Lot: Feb 28),Fabiani,,,"Paris, France",1352,,1764,1,"48.8566101, 2.3514992",,48.8566101, 2.3514992
Br-A719,17,"MOLENAER, JAN MIENSE (Dutch)",,,,,The Inside of a Dutch House,,Painting,,,"from catalog: [James Wright, Esq.] (RKDH)","Unknown, 1.0 pounds (RKDH)",,,,,,,,1765 Apr 26,,,Hobbs,"London, England",1453,,1765,1,"51.5073219, -0.1276474",,51.5073219, -0.1276474
D-A52,109,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un excellent tableau réprésentant une conversation réjouissante dans l'interieur d'une chambre, une de meilleures piéces de ce maitre & aussi bonne que d'Ostade.",,Gemälde,"hauteur 22 pouces, largeur 28 pouces",,,Unbekannt,,,,,,,,1765 Mar 27,,,Kaller (Johann Christian),"Frankfurt, Germany",1441,,1765,2,"50.1106444, 8.6820917",,50.1106444, 8.6820917
